"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
040153,MSPB-1,1.021850,,01/01/2021,12/31/2021
040154,MSPB-1,0.964893,,01/01/2021,12/31/2021
040156,MSPB-1,0.856129,,01/01/2021,12/31/2021
040161,MSPB-1,0.941066,,01/01/2021,12/31/2021
050002,MSPB-1,1.084878,,01/01/2021,12/31/2021
050006,MSPB-1,0.954664,,01/01/2021,12/31/2021
050007,MSPB-1,0.958519,,01/01/2021,12/31/2021
050008,MSPB-1,1.005954,,01/01/2021,12/31/2021
050009,MSPB-1,0.964298,,01/01/2021,12/31/2021
050013,MSPB-1,1.027634,,01/01/2021,12/31/2021
050014,MSPB-1,0.940399,,01/01/2021,12/31/2021
050017,MSPB-1,0.963191,,01/01/2021,12/31/2021
050022,MSPB-1,1.028439,,01/01/2021,12/31/2021
050024,MSPB-1,1.048508,,01/01/2021,12/31/2021
050025,MSPB-1,1.032567,,01/01/2021,12/31/2021
050026,MSPB-1,1.028394,,01/01/2021,12/31/2021
050028,MSPB-1,0.824088,,01/01/2021,12/31/2021
050030,MSPB-1,0.829548,,01/01/2021,12/31/2021
050036,MSPB-1,1.016984,,01/01/2021,12/31/2021
050038,MSPB-1,1.011347,,01/01/2021,12/31/2021
050039,MSPB-1,0.979545,,01/01/2021,12/31/2021
050040,MSPB-1,0.862434,,01/01/2021,12/31/2021
050042,MSPB-1,0.951348,,01/01/2021,12/31/2021
050043,MSPB-1,1.005597,,01/01/2021,12/31/2021
050045,MSPB-1,0.936796,,01/01/2021,12/31/2021
050047,MSPB-1,0.989866,,01/01/2021,12/31/2021
050054,MSPB-1,1.063783,,01/01/2021,12/31/2021
050055,MSPB-1,0.972547,,01/01/2021,12/31/2021
050056,MSPB-1,0.990655,,01/01/2021,12/31/2021
050057,MSPB-1,0.968890,,01/01/2021,12/31/2021
050058,MSPB-1,1.125935,,01/01/2021,12/31/2021
050060,MSPB-1,1.016628,,01/01/2021,12/31/2021
050063,MSPB-1,1.069598,,01/01/2021,12/31/2021
050067,MSPB-1,0.892287,,01/01/2021,12/31/2021
050069,MSPB-1,0.992638,,01/01/2021,12/31/2021
050070,MSPB-1,0.808399,,01/01/2021,12/31/2021
050071,MSPB-1,0.856388,,01/01/2021,12/31/2021
050072,MSPB-1,0.986095,,01/01/2021,12/31/2021
050073,MSPB-1,0.950108,,01/01/2021,12/31/2021
050075,MSPB-1,0.944754,,01/01/2021,12/31/2021
050076,MSPB-1,0.831391,,01/01/2021,12/31/2021
050077,MSPB-1,1.025194,,01/01/2021,12/31/2021
050078,MSPB-1,1.019758,,01/01/2021,12/31/2021
050082,MSPB-1,0.990471,,01/01/2021,12/31/2021
050084,MSPB-1,0.954687,,01/01/2021,12/31/2021
050089,MSPB-1,1.035288,,01/01/2021,12/31/2021
050090,MSPB-1,0.945154,,01/01/2021,12/31/2021
050091,MSPB-1,1.086272,,01/01/2021,12/31/2021
050093,MSPB-1,0.958479,,01/01/2021,12/31/2021
050096,MSPB-1,1.549673,,01/01/2021,12/31/2021
050099,MSPB-1,1.066037,,01/01/2021,12/31/2021
050100,MSPB-1,0.963421,,01/01/2021,12/31/2021
050101,MSPB-1,0.988542,,01/01/2021,12/31/2021
050102,MSPB-1,1.141153,,01/01/2021,12/31/2021
050103,MSPB-1,1.034743,,01/01/2021,12/31/2021
050104,MSPB-1,1.053525,,01/01/2021,12/31/2021
050107,MSPB-1,0.922509,,01/01/2021,12/31/2021
050108,MSPB-1,0.976793,,01/01/2021,12/31/2021
050110,MSPB-1,1.005416,,01/01/2021,12/31/2021
050112,MSPB-1,1.055821,,01/01/2021,12/31/2021
050113,MSPB-1,0.968716,,01/01/2021,12/31/2021
050115,MSPB-1,1.046616,,01/01/2021,12/31/2021
050116,MSPB-1,1.094064,,01/01/2021,12/31/2021
050118,MSPB-1,0.933643,,01/01/2021,12/31/2021
050121,MSPB-1,0.993242,,01/01/2021,12/31/2021
050122,MSPB-1,0.969881,,01/01/2021,12/31/2021
050124,MSPB-1,1.035391,,01/01/2021,12/31/2021
050125,MSPB-1,0.956842,,01/01/2021,12/31/2021
050126,MSPB-1,1.109858,,01/01/2021,12/31/2021
050127,MSPB-1,0.965742,,01/01/2021,12/31/2021
050128,MSPB-1,0.988836,,01/01/2021,12/31/2021
050129,MSPB-1,1.033154,,01/01/2021,12/31/2021
050131,MSPB-1,0.911843,,01/01/2021,12/31/2021
050132,MSPB-1,1.143988,,01/01/2021,12/31/2021
050133,MSPB-1,1.034732,,01/01/2021,12/31/2021
050135,MSPB-1,1.219526,,01/01/2021,12/31/2021
050136,MSPB-1,0.968157,,01/01/2021,12/31/2021
050137,MSPB-1,1.082286,,01/01/2021,12/31/2021
050138,MSPB-1,1.012525,,01/01/2021,12/31/2021
050139,MSPB-1,0.939534,,01/01/2021,12/31/2021
050140,MSPB-1,1.015713,,01/01/2021,12/31/2021
050145,MSPB-1,0.950459,,01/01/2021,12/31/2021
050149,MSPB-1,0.966609,,01/01/2021,12/31/2021
050150,MSPB-1,0.916788,,01/01/2021,12/31/2021
050152,MSPB-1,1.074635,,01/01/2021,12/31/2021
