"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","Avg ASC-20 State Rate"
OK,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),87.20
OR,2021,94.45,95.70,99.32,99.32,0,26,0,3,97.37,99.81,0.25,0.16,0,27,0,24,0,7,0,8,N/A (5)
OR,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.60
PA,2021,87.10,93.25,99.85,100.00,0,107,0,4,92.98,99.52,0.33,0.27,0,58,0,43,0,27,0,18,N/A (5)
PA,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.40
PR,2021,N/A (5),N/A (5),100.00,100.00,0,2,0,1,92.02,100.00,1.08,0.99,0,3,0,5,0,1,0,5,N/A (5)
PR,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),100.00
RI,2021,89.03,92.62,N/A (5),N/A (5),0,7,0,0,98.38,98.77,0.20,0.56,0,3,0,1,0,1,0,0,N/A (5)
RI,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),97.80
SC,2021,87.14,94.74,N/A (5),N/A (5),0,35,0,1,89.82,100.00,0.23,0.19,0,24,0,12,0,9,0,7,N/A (5)
SC,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),81.70
SD,2021,90.19,89.84,N/A (5),N/A (5),0,4,0,1,96.91,98.39,0.16,0.16,0,1,0,2,0,1,0,1,N/A (5)
SD,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),76.80
TN,2021,93.77,98.38,N/A (5),N/A (5),0,42,0,6,92.07,100.00,0.23,0.22,0,41,0,17,0,10,0,11,N/A (5)
TN,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),77.80
TX,2021,85.51,91.47,96.70,98.29,0,160,2,21,98.03,100.00,0.31,0.24,0,125,0,90,0,38,1,42,N/A (5)
TX,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),82.70
UT,2021,97.18,98.47,100.00,100.00,0,14,0,1,99.31,100.00,0.18,0.10,0,24,0,5,0,8,0,4,N/A (5)
UT,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),82.80
VA,2021,79.24,88.20,0.00,0.00,0,17,0,0,97.50,99.91,0.27,0.19,0,31,0,8,0,13,0,11,N/A (5)
VA,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),89.60
VI,2021,N/A (5),N/A (5),N/A (5),N/A (5),0,2,0,0,N/A (5),N/A (5),N/A (5),N/A (5),0,1,0,2,0,0,0,0,N/A (5)
VI,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),91.80
